+--------+------------------+------------------+------------------+----------------------------+
| Index  |    Interative    | Binet's Formula  |    Difference    |          ERROR(%)          |
|     72 |     4.984540e+14 |     4.984540e+14 |    -1.000000e+00 |    2.0062031324210126e-13% |
|     73 |     8.065155e+14 |     8.065155e+14 |    -2.000000e+00 |    2.4798034483453836e-13% |
|     74 |     1.304970e+15 |     1.304970e+15 |    -3.000000e+00 |     2.298904224744962e-13% |
|     75 |     2.111485e+15 |     2.111485e+15 |    -5.000000e+00 |     2.368001579621856e-13% |
|     76 |     3.416455e+15 |     3.416455e+15 |    -8.000000e+00 |     2.341608738591596e-13% |
|     77 |     5.527940e+15 |     5.527940e+15 |    -1.400000e+01 |     2.532589130405904e-13% |
|     78 |     8.944394e+15 |     8.944394e+15 |    -2.400000e+01 |     2.683244849364666e-13% |
|     79 |     1.447233e+16 |     1.447233e+16 |    -3.900000e+01 |    2.6947968401988647e-13% |
|     80 |     2.341673e+16 |     2.341673e+16 |    -5.900000e+01 |     2.519566316951393e-13% |
|     81 |     3.788906e+16 |     3.788906e+16 |    -1.020000e+02 |     2.692069785086539e-13% |
|     82 |     6.130579e+16 |     6.130579e+16 |    -1.610000e+02 |     2.626179323436148e-13% |
|     83 |     9.919485e+16 |     9.919485e+16 |    -2.790000e+02 |    2.8126459316743617e-13% |
|     84 |     1.605006e+17 |     1.605006e+17 |    -4.640000e+02 |    2.8909541355539626e-13% |
|     85 |     2.596955e+17 |     2.596955e+17 |    -7.430000e+02 |    2.8610430632699113e-13% |
|     86 |     4.201961e+17 |     4.201961e+17 |    -1.207000e+03 |     2.872468076242464e-13% |
|     87 |     6.798916e+17 |     6.798916e+17 |    -2.014000e+03 |      2.96223675730884e-13% |
|     88 |     1.100088e+18 |     1.100088e+18 |    -3.157000e+03 |     2.869770996537125e-13% |
|     89 |     1.779979e+18 |     1.779979e+18 |    -5.171000e+03 |    2.9050897743563034e-13% |
|     90 |     2.880067e+18 |     2.880067e+18 |    -8.584000e+03 |     2.980486016707424e-13% |
|     91 |     4.660047e+18 |     4.660047e+18 |    -1.452300e+04 |    3.1164924332869845e-13% |
